id,username,time_created,tweet,retweet_count,location_user,place_tweet
563,goodfellow_ian,2019-01-16 23:05:50+05:30,"RT @colinraffel: New blog post: ""You Don't Know JAX"", a brief tutorial which covers the basics of computing gradients, just-in-time compila…",2,"San Francisco, CA",
564,dna,2019-01-16 23:05:45+05:30,"Former NSA MK Narayanan warns on Aadhar information misuse https://t.co/2UMqfM97pi by @pooja_news

https://t.co/iCYhrvskZH",0,India,
565,kdnuggets,2019-01-16 23:05:02+05:30,"Webinar, Jan 30 @InsuranceNexus:  QBE, Allstate and Arch MI discuss how #AI is successfully winning customers hearts #Insurance https://t.co/iDjGVPonIN https://t.co/7ffVNom90Z",0,"Brookline, MA, USA",
566,htTweets,2019-01-16 23:05:00+05:30,"Sikkim opposition parties set for pre-poll alliance against Chamling
https://t.co/lCFDJKFATs https://t.co/iTJQQWoBRk",0,India,
567,ndtv,2019-01-16 23:04:29+05:30,".@LRC_NDTV | All's not well in the judiciary?

Watch full show: https://t.co/bWeIuiNNcu https://t.co/G8qQYF8RyZ",0,India,
568,dna,2019-01-16 23:04:24+05:30,#DNAPoll: Do you agree with the ASER report that Class 8 students can't do basic Maths?,0,India,
569,firstpost,2019-01-16 23:03:20+05:30,"The notice sent to the nuns, which included a reminder regarding their transfer orders issued in May 2018, comes just a week after the appointment of a special public prosecutor by the #Kerala government. #KeralaNunsPunished 
https://t.co/J9P0BkJmkK",1,"Mumbai, India",
570,ndtv,2019-01-16 23:02:29+05:30,"All's not well in the judiciary? 

Former Delhi High Court judge Justice Kailash Gambhir on @LRC_NDTV
Watch full interview: https://t.co/bWeIuiNNcu https://t.co/y3tYVdCRt5",4,India,
571,ndtv,2019-01-16 23:02:18+05:30,"Top stories now on https://t.co/Fbzw6mR9Q5 

#NDTVTopStories https://t.co/ATCn1sljlm",1,India,
572,dna,2019-01-16 23:01:51+05:30,"RT @dnaAfterHrs: #AnkitaLokhande: #KanganaRanaut is a secure person, she increased my scenes in #Manikarnika after Krish left

https://t.co…",1,India,
573,the_hindu,2019-01-16 23:00:11+05:30,"Four years ago, 44.1% of students at Class VIII could correctly divide a three digit number by a single digit number; in 2018, that figure had fallen slightly to 43.9%. 
https://t.co/jJWl69wvlS",5,"Chennai, India",
574,DDNewsLive,2019-01-16 23:00:00+05:30,"Union Minister for Textiles, @smritiirani releases the Millennium Post + Industry for Textiles Booklet, in New Delhi https://t.co/lHfpQlkx1N",2,"New Delhi, India",
575,ndtv,2019-01-16 22:59:13+05:30,"No invite for Delhi lawmakers for President's ""at-home"" reception, AAP leader upset https://t.co/Gr12Slx5Ka https://t.co/63CNuk0AqC",3,India,
576,IndiaToday,2019-01-16 22:57:05+05:30,"#RamMandirRumble
If Modi govt fails to build Ram temple, it will be difficult for it to come back to power in 2019: Swami Ram Shankar
#NEWSROOM
Live: https://t.co/4fqxBVUizL https://t.co/Ohbfkk4UbK",6,India,
577,Google,2019-01-16 22:56:01+05:30,"With one week left to apply for the @GoogleAI Impact Challenge, dive into some research on how AI has the potential to drive social change → https://t.co/2KuHTnsLKB https://t.co/61RsNA7PA8",18,"Mountain View, CA",
578,ZeeNews,2019-01-16 22:56:00+05:30,"#DNA analysis of the factors responsible for the degradation of education levels in India - Watch

@sudhirchaudhary https://t.co/cAdurD1rfc",14,India,
579,IndianExpress,2019-01-16 22:55:26+05:30,"RT @IExpressSports: After historic 2018, Indian TT team’s Olympic preparation hits ‘coach’ roadblock 

https://t.co/bSd3stpskx",2,India,
580,htTweets,2019-01-16 22:55:00+05:30,"Recognition of degree, skilled jobs: UK to open doors for more Indians after Brexit
https://t.co/lm7QQqMZqO https://t.co/slSdq5jAIg",2,India,
581,IndiaToday,2019-01-16 22:54:47+05:30,"BJP chief Amit Shah is suffering from Swine-flu and has been admitted to AIIMS.
https://t.co/6v9V5OgiHv",4,India,
582,ndtv,2019-01-16 22:54:39+05:30,NGO helps improve facilities at Hyderabad's 80-year-old hospital https://t.co/FMOTU0c0hh https://t.co/JyD4Eo3A8n,0,India,
583,ANI,2019-01-16 22:54:14+05:30,"RT @ANINewsUP: Shivpal Singh Yadav, PSP(L) on 1995 Lucknow guest house case: Behenji ne mujh par yaun shoshan ka aarop lagaya tha. Maine ka…",34,India,
584,IndiaToday,2019-01-16 22:52:10+05:30,"#RamMandirRumble
We hope the SC will announce its verdict at earliest so that politics over the issue stops: @kamalfaruqui
#NEWSROOM
Live: https://t.co/4fqxBVUizL https://t.co/QXpQvLPs00",2,India,
585,ndtv,2019-01-16 22:51:46+05:30,"Delhi man allegedly stabs neighbours over quarrel; 1 dead, 2 critical https://t.co/3Ym3qi8Yha https://t.co/TNeljR9YN6",6,India,
586,ZeeNews,2019-01-16 22:51:40+05:30,"RT @ZeeNewsHindi: देखें, क्या केक लूटने वालों की भीड़, ज़िम्मेदारी से वोट दे सकती है ?
@sudhirchaudhary #DNA https://t.co/Pgb3zuMej4",42,India,
587,firstpost,2019-01-16 22:50:40+05:30,"#Gaya honour killing: Two prime accused including victim's father sent to three-day police custody even as demand for #CBI inquiry grows in Bihar
https://t.co/yM156EeXJv",1,"Mumbai, India",
588,the_hindu,2019-01-16 22:50:03+05:30,"Confirming the receipt of transfer order, the sisters accused the church of “taking vengeance for their public protests” #BishopMulakkalCase 
https://t.co/BAx0XLpQrF",10,"Chennai, India",
589,IndiaToday,2019-01-16 22:49:44+05:30,"#RamMandirRumble
We are waiting for the verdict of SC and believe it will facilitate the construction of Ram Mandir: @GVLNRAO
#NEWSROOM
Live: https://t.co/4fqxBVUizL https://t.co/LZHTUw5STt",2,India,
590,ndtv,2019-01-16 22:49:35+05:30,"RT @NDTVFood: Is It Safe For High Blood Pressure Patients To Have Potatoes? Here's The Answer 

https://t.co/pMGrwobc4R https://t.co/7LkgXL…",4,India,
591,ndtv,2019-01-16 22:49:31+05:30,RT @Gadgets360: Xiaomi says it plans to sell around 1 million units of the Redmi Note 7 in January https://t.co/qH74rQ4D0L,2,India,
